Rank	Count	ID	Name	Description			Group			
277	1	gb	HM565917	+	0-1149	ARO:3002161	Beta-lactamase	FOX-8	FOX-8	FOX-8 is a beta-lactamase found in the Enterobacteriaceae family
278	1	gb	DQ212986	+	5137-5983	ARO:3002965	Glycopeptide resistance	vanWG	vanWG	vanWG is a vanW variant found in the vanG gene cluster
279	1	gb	Y10415	+	125-893	ARO:3003095	Beta-lactamase	imiS	imiS	imiS is an Ambler Class B MBL; subclass B2 originally isolated from Aeromonas veronii. This enzyme has specific activity against carbapenems.
280	1	gb	AF458080	+	1504-2764	ARO:3002693	Multidrug efflux pump	cmlA1	cmlA1	cmlA1 is a plasmid or transposon-encoded chloramphenicol exporter that is found in Pseudomonas aeruginosa and Klebsiella pneumoniae
281	1	gb	D89862	+	111-981	ARO:3001907	Beta-lactamase	CTX-M-45	CTX-M-45	CTX-M-45 is a beta-lactamase found in Escherichia coli
282	1	gb	AB219524.1	+	22-1180	ARO:3003698	Multidrug efflux pump	mexP	mexP	MexP is the membrane fusion protein of the MexPQ-OpmE multidrug efflux complex
283	1	gb	AB015853	+	145-1315	ARO:3003034	Multidrug efflux pump	mexX	mexX	MexX is the membrane fusion protein of the MexXY-OprM multidrug efflux complex.
284	1	gb	AY082011	+	4936-5908	ARO:3002944	Glycopeptide resistance	vanHD	vanHD	vanHD is a vanH variant in the vanD gene cluster
285	1	gb	AE004091.2	+	4903465-4904596	ARO:3003030	Multidrug efflux pump	mexV	mexV	MexV is the membrane fusion protein of the MexVW-OprM multidrug efflux complex.
286	1	gb	AB015853	+	1330-4471	ARO:3003033	Multidrug efflux pump	mexY	mexY	MexY is the RND-type membrane protein of the efflux complex MexXY-OprM.
287	1	gb	AB219523.1	+	21-1179	ARO:3003704	Multidrug efflux pump	mexM	mexM	mexM is the membrane fusion protein of the MexMN-OprM multidrug efflux complex.
288	1	gb	KP109678	+	5817-6675	ARO:3003714	Beta-lactamase	PEDO-2	PEDO-2	PEDO-2 is a subclass B3 metallo-beta lactamase isolated from Pedobacter borealis exhibiting carbapenem resistance.
289	1	gb	M58472	+	147-777	ARO:3002670	chloramphenicol resistance	cat	cat	"cat is used to describe many variants of the chloramphenicol acetyltransferase gene in a range of organisms including Acinetobacter calcoaceticus, Agrobacterium tumefaciens, Bacillus clausii, Bacillus subtilis, Campylobacter coli, Enterococcus faecalis, Enterococcus faecium, Lactococcus lactis, Listeria monocytogenes, Listonella anguillarum"
290	1	gb	HE650138	+	2186-2918	ARO:3003205	Macrolide resistance	Erm(43)	Erm(43)	"Erm(43) is a macrolide, lincosamide, and streptogramin B resistance gene found in Staphylococcus lentus chromosome isolated from human, dog and chicken."
291	1	gb	LN515534	+	0-873	ARO:3003155	Beta-lactamase	SHV-188	SHV-188	From the Lahey list of beta-lactamases.
292	1	gb	EU188842	+	0-828	ARO:3001609	Beta-lactamase	OXA-114a	OXA-114a	OXA-114a is a beta-lactamase found in Achromobacter xylosoxidans.
293	1	gb	KJ207204	+	579-1725	ARO:3002099	Beta-lactamase	CMY-86	CMY-86	CMY-86 is a beta-lactamase. From the Lahey list of CMY beta-lactamases.
294	1	gb	HQ875573	+	0-741	ARO:3002229	Beta-lactamase	IMP-38	IMP-38	IMP-38 is a beta-lactamase. From the Lahey list of IMP beta-lactamases.
295	1	gb	JX121121	+	0-858	ARO:3001193	Beta-lactamase	SHV-154	SHV-154	SHV-154 is a beta-lactamase.
296	1	gb	EU136031	+	0-876	ARO:3001942	AMR genes detected in K.pneumoniae	CTX-M-81	CTX-M-81	CTX-M-81 is a beta-lactamase found in Klebsiella pneumoniae
297	1	gb	KM087849	+	0-1140	ARO:3002150	Beta-lactamase	DHA-19	DHA-19	DHA-19 is a beta-lactamase. From the Lahey list of DHA beta-lactamases.
298	1	gb	AJ223970	+	20-800	ARO:3001303	Macrolide resistance	ErmO	ErmO	"ErmO is a methyltransferase found in the spiramycin producer Streptomyces ambofaciens. Like other Erm enzymes, it catalyzes the methylation of A2058 of the 23S ribosomal RNA. Specifically, this enzyme transfers only one methyl group. The gene is responsible for self-resistance to spiramycin."
299	1	gb	GQ288397	+	0-741	ARO:3000846	Beta-lactamase	SIM-1	SIM-1 beta-lactamase	SIM-1 is an integron-encoded Ambler class B beta-lactamase isolated from Acinetobacter baumannii
300	1	gb	AF155139	+	4338-4959	ARO:3002963	Glycopeptide resistance	vanZF	vanZF	vanZF is a vanZ variant found in the vanF gene cluster
301	1	gb	AY157676	+	0-876	ARO:3001888	AMR genes detected in K.pneumoniae	CTX-M-26	CTX-M-26	CTX-M-26 is a beta-lactamase found in Klebsiella pneumoniae
302	1	gb	NC_007795	-	1360280-1361636	ARO:3000839	Multidrug efflux pump	arlS	arlS	"ArlS is a protein histidine kinase that phosphorylates ArlR, a promoter for norA expression."
303	1	gb	AL009126	+	916777-919348	ARO:3003324	defensin resistance	Bacillus	Bacillus subtilis mprF	"MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins. Additionally, large-scale mutations causing loss of function of the gene result in increased susceptibility to daptomycin."
304	1	gb	KF460533	+	0-831	ARO:3001550	Beta-lactamase	OXA-363	OXA-363	OXA-363 is a beta-lactamase. From the Lahey list of OXA beta-lactamases.
305	1	gb	D78168	+	1591-3130	ARO:3000254	Multidrug efflux pump	emrY	emrY	emrY is a multidrug transport that moves substrates across the inner membrane of the Gram-negative E. coli. It is a homolog of emrB.
306	1	gb	AF162694	+	1410-2442	ARO:3000368	Glycopeptide resistance	vanC	vanC	"VanC is a D-Ala-D-Ala ligase homolog that synthesizes D-Ala-D-Ser, an alternative substrate for peptidoglycan synthesis that reduces vancomycin binding affinity. It is specific to Enterococcus gallinarum and E. casseliflavus, providing intrinsic resistance."
307	1	gb	AY598759	+	0-876	ARO:3001873	Beta-lactamase	CTX-M-10	CTX-M-10	CTX-M-10 is a beta-lactamase found in Escherichia coli
308	1	gb	EU886977	+	543-1110	ARO:3002575	Aminoglycoside resistance	AAC(6')-Iai	AAC(6')-Iai	AAC(6')-Iai is an aminoglycoside acetyltransferase encoded by plasmids and integrons in P. aeruginosa
309	1	gb	AM051149	+	0-861	ARO:3002427	AMR genes detected in K.pneumoniae	OKP-A-10	OKP-A-10	OKP-A-10 is a beta-lactamase found in Klebsiella pneumoniae
310	1	gb	L06160	+	983-1721	ARO:3002537	Aminoglycoside resistance	AAC(3)-IIIb	AAC(3)-IIIb	AAC(3)-IIIb is an aminoglycoside acetyltransferase in P. aeruginosa
311	1	gb	NC_003112	-	1795181-1796420	ARO:3000810	Multidrug efflux pump	mtrC	mtrC	MtrC is the membrane fusion protein of the MtrCDE multidrug efflux complex.
312	1	gb	NC_003197	-	397056-398262	ARO:3000789	Multidrug efflux pump	mdsA	mdsA	MdsA is the membrane fusion protein of the multidrug and metal efflux complex MdsABC.
313	1	gb	AY055428	-	20268-21084	ARO:3000412	sulfonamide resistance	sul2	sul2	"Sul2 is a sulfonamide resistant dihydropteroate synthase of Gram-negative bacteria, usually found on small plasmids."
314	1	gb	AB116646	+	429-903	ARO:3002563	Aminoglycoside resistance	AAC(6')-Isa	AAC(6')-Isa	AAC(6')-Isa is a plasmid-encoded aminoglycoside acetyltransferase in Streptomyces albulus
315	1	gb	NC_002516	+	2808742-2809987	ARO:3000803	Multidrug efflux pump	mexE	mexE	MexE is the membrane fusion protein of the MexEF-OprN multidrug efflux complex.
